Tweet,Date,FC,RC,Hashtags,DOW,Month,Hour,Minute,Time
"While Hillary profits off the rigged system, I am fighting for you! Remember the simple phrase: #FollowTheMoney https://www.facebook.com/DonaldTrump/videos/10157784190830725/",2016-09-29 22:17:55+00:00,25216,14203,#FollowTheMoney,Thursday,9,22,17,22.28
My condolences to those involved in today's horrible accident in NJ and my deepest gratitude to all of the amazing first responders.,2016-09-29 18:05:56+00:00,32272,9273,,Thursday,9,18,5,18.08
"Every on-line poll, Time Magazine, Drudge etc., has me winning the debate. Thank you to Fox & Friends for so reporting!",2016-09-28 12:41:03+00:00,31202,9153,,Wednesday,9,12,41,12.68
My supporters are the best! $18 million from hard-working people who KNOW what we can be again! Shatter the record:,2016-09-28 02:17:06+00:00,24023,8366,,Wednesday,9,2,17,2.28
"Unbelievable evening in Melbourne, Florida w/ 15,000 supporters- and an additional 12,000 who could not get in. Thank you! #TrumpTrain #MAGA – at Orlando Sanford International Airport (SFB)",2016-09-28 01:03:03+00:00,37501,13726,#TrumpTrain #MAGA,Wednesday,9,1,3,1.05
"In the last 24 hrs. we have raised over $13M from online donations and National Call Day, and we’re still going! Thank you America! #MAGA",2016-09-27 19:37:22+00:00,30213,9022,#MAGA,Tuesday,9,19,37,19.62
"Well, now they're saying that I not only won the NBC Presidential Forum, but last night the big debate. Nice!",2016-09-27 17:47:36+00:00,29950,9340,,Tuesday,9,17,47,17.78
Such a great honor. Final debate polls are in - and the MOVEMENT wins! #AmericaFirst #MAGA #ImWithYou http://www.DonaldJTrump.com,2016-09-27 15:47:29+00:00,28251,14396,#AmericaFirst #MAGA #ImWithYou,Tuesday,9,15,47,15.78
Hillary's been failing for 30 years in not getting the job done - it will never change.,2016-09-27 14:49:09+00:00,32818,12908,,Tuesday,9,14,49,14.82
The #1 trend on Twitter right now is #TrumpWon - thank you!,2016-09-27 13:17:40+00:00,49095,17788,#TrumpWon,Tuesday,9,13,17,13.28
I won every poll from last nights Presidential Debate - except for the little watched @CNN poll.,2016-09-27 13:14:55+00:00,27359,9197,,Tuesday,9,13,14,13.23
I really enjoyed the debate last night.Crooked Hillary says she is going to do so many things.Why hasn't she done them in her last 30 years?,2016-09-27 12:53:42+00:00,60549,21048,,Tuesday,9,12,53,12.88
"Thank you! Four new #DebateNight polls with the MOVEMENT winning. Together, we will MAKE AMERICA SAFE &amp; GREAT AGAIN! http://www.DonaldJTrump.com",2016-09-27 06:32:29+00:00,20666,9177,#DebateNight,Tuesday,9,6,32,6.53
.@DRUDGE_REPORT's First Presidential Debate Poll: Trump: 80% Clinton: 20% Join the MOVEMENT today &amp; lets #MAGA! http://www.DonaldJTrump.com,2016-09-27 05:54:42+00:00,21378,9223,#MAGA,Tuesday,9,5,54,5.9
"Thank you! CNBC #DebateNight poll with over 400,000 votes. Trump 61% Clinton 39% #AmericaFirst #ImWithYou https://instagram.com/p/BK2RrsHjTDR/",2016-09-27 05:44:02+00:00,30030,13888,#DebateNight #AmericaFirst #ImWithYou,Tuesday,9,5,44,5.73
"Wow, did great in the debate polls (except for @CNN - which I don't watch). Thank you!",2016-09-27 04:34:09+00:00,33547,10396,,Tuesday,9,4,34,4.57
Thank you Senator @TedCruz! #Debates2016 #MAGA,2016-09-27 03:58:24+00:00,34543,16082,#Debates2016 #MAGA,Tuesday,9,3,58,3.97
